,Hotel,Address,Score,Latitude,Longitude,City
370,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,8.1,41.4101306,2.2188047,"Barcelona, Spain"
371,Hotel The Serras,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,9.6,41.3801815,2.180688,"Barcelona, Spain"
372,Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,9.0,41.3980162,2.1581229,"Barcelona, Spain"
373,Hilton Diagonal Mar Barcelona,Passeig del Taulat 262 264 Sant Mart 08019 Barcelona Spain,7.9,41.4084334,2.2178205,"Barcelona, Spain"
374,Claris Hotel Spa GL,Pau Claris 150 Eixample 08009 Barcelona Spain,8.6,41.3944848,2.1651078,"Barcelona, Spain"
375,Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain,8.6,41.3856387,2.1668274,"Barcelona, Spain"
376,Arthotel ANA Westbahn,Pelzgasse 1 15 Rudolfsheim F nfhaus 1150 Vienna Austria,8.3,48.197951399999994,16.336318,"Vienna, Austria"
377,The Rookery,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,9.1,51.520171000000005,-0.10246300000000001,"London, United Kingdom"
378,Hotel Principe Di Savoia,Piazza Della Repubblica 17 Central Station 20124 Milan Italy,9.1,45.479888,9.1962982,"Milan, Italy"
379,Hotel Dei Cavalieri,Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,8.4,45.4608547,9.1886179,"Milan, Italy"
380,Starhotels Anderson,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,8.7,45.4852549,9.206950099999998,"Milan, Italy"
381,NYX Milan,Piazza Quattro Novembre 3 Central Station 20124 Milan Italy,8.8,45.4868745,9.2018406,"Milan, Italy"
382,M venpick Hotel Amsterdam City Centre,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,8.4,52.3781016,4.9142508000000005,"Amsterdam, Netherlands"
383,Hotel SB Diagonal Zero Barcelona 4 Sup,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,8.2,41.4111652,2.2192012,"Barcelona, Spain"
384,W Barcelona,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,8.5,41.368437,2.1901534,"Barcelona, Spain"
385,Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,9.3,41.386145899999995,2.1711593999999996,"Barcelona, Spain"
386,Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,8.4,41.375029299999994,2.1491172,"Barcelona, Spain"
387,Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,8.6,41.3798964,2.1412432999999997,"Barcelona, Spain"
388,London Marriott Maida Vale,Plaza Parade Camden London NW6 5RP United Kingdom,8.1,51.5357597,-0.19025910000000001,"London, United Kingdom"
389,The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom,9.3,51.5135929,-0.09078330000000001,"London, United Kingdom"
390,Sofitel Vienna Stephansdom,Praterstra e 1 02 Leopoldstadt 1020 Vienna Austria,9.0,48.212857,16.37986,"Vienna, Austria"
391,Grand Hotel Amr th Amsterdam,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,8.3,52.3744149,4.9041443,"Amsterdam, Netherlands"
392,art otel Amsterdam,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,9.0,52.377743,4.897057,"Amsterdam, Netherlands"
393,NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,8.6,52.3764175,4.900220099999999,"Amsterdam, Netherlands"
394,citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,8.6,52.3419432,4.8759604,"Amsterdam, Netherlands"
395,Golden Tulip Amsterdam Riverside,Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,7.5,52.3154533,4.996299700000001,"Amsterdam, Netherlands"
396,Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,7.4,41.4072812,2.1443116,"Barcelona, Spain"
397,Le M ridien Barcelona,Ramblas 111 Ciutat Vella 08002 Barcelona Spain,8.2,41.3837453,2.171014,"Barcelona, Spain"
398,NH Amsterdam Caransa,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,7.9,52.3664077,4.896909099999999,"Amsterdam, Netherlands"
399,Austria Trend Hotel Savoyen Vienna,Rennweg 16 03 Landstra e 1030 Vienna Austria,8.9,48.19504439999999,16.3844751,"Vienna, Austria"
400,K West Hotel Spa,Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,8.4,51.5013149,-0.21744589999999997,"London, United Kingdom"
401,Le Meridien Vienna,Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,8.3,48.202729600000005,16.3661211,"Vienna, Austria"
402,The College Hotel,Roelof Hartstraat 1 Oud Zuid 1071 VE Amsterdam Netherlands,8.3,52.3527675,4.88373,"Amsterdam, Netherlands"
403,Catalonia Square 4 Sup,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain,9.4,41.3885658,2.1712991,"Barcelona, Spain"
404,Crowne Plaza London Docklands,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,8.8,51.5083537,0.0198855,"London, United Kingdom"
405,Radisson Blu Hotel Amsterdam,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,8.6,52.3702469,4.8966743,"Amsterdam, Netherlands"
406,Hotel Espa a Ramblas,Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,8.7,41.379920899999995,2.1728181,"Barcelona, Spain"
407,Abba Garden,Santa Rosa Esplugues 33 08950 Barcelona Spain,7.9,41.3854716,2.1018835,"Barcelona, Spain"
408,Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,8.1,51.499046,-0.1917073,"London, United Kingdom"
409,Arthotel ANA Prime,Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,8.4,48.19255820000001,16.3576071,"Vienna, Austria"
410,Fletcher Hotel Amsterdam,Schepenbergweg 50 Zuidoost 1105 AT Amsterdam Netherlands,7.8,52.2924567,4.9444338,"Amsterdam, Netherlands"
411,Austria Trend Hotel Park Royal Palace Vienna,Schlossallee 8 14 Penzing 1140 Vienna Austria,8.8,48.191339,16.316587300000002,"Vienna, Austria"
412,Palais Hansen Kempinski Vienna,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,9.2,48.2163149,16.3685103,"Vienna, Austria"
413,Hotel de France Wien,Schottenring 3 01 Innere Stadt 1010 Vienna Austria,8.5,48.21466229999999,16.3627994,"Vienna, Austria"
414,Grand Ferdinand Vienna Your Hotel In The City Center,Schubertring 10 12 01 Innere Stadt 1010 Vienna Austria,8.6,48.2022415,16.374933600000002,"Vienna, Austria"
415,Hotel Am Schubertring,Schubertring 11 01 Innere Stadt 1010 Vienna Austria,8.2,48.2017277,16.375463,"Vienna, Austria"
416,Hotel Domizil,Schulerstra e 14 01 Innere Stadt 1010 Vienna Austria,8.9,48.2080479,16.375612,"Vienna, Austria"
417,Hotel Capricorno,Schwedenplatz 3 4 01 Innere Stadt 1010 Vienna Austria,9.1,48.21115220000001,16.3788631,"Vienna, Austria"
418,Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,9.3,45.46513710000001,9.1895249,"Milan, Italy"
419,Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,9.1,52.3705447,4.888643900000001,"Amsterdam, Netherlands"
420,Hotel Royal,Singerstra e 3 01 Innere Stadt 1010 Vienna Austria,8.6,48.2078727,16.3724042,"Vienna, Austria"
421,Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,7.3,52.378682299999994,4.8207832999999995,"Amsterdam, Netherlands"
422,Hilton London Canary Wharf,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,9.0,51.5007324,-0.01655,"London, United Kingdom"
423,WestCord Art Hotel Amsterdam 4 stars,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands,8.5,52.3924898,4.8683822,"Amsterdam, Netherlands"
424,NH City Centre Amsterdam,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,8.2,52.3697554,4.8887815,"Amsterdam, Netherlands"
425,The Tower A Guoman Hotel,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,8.6,51.5064721,-0.0716893,"London, United Kingdom"
426,Ramada Apollo Amsterdam Centre,Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,8.2,52.3681299,4.8440847,"Amsterdam, Netherlands"
427,Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,8.1,52.362514000000004,4.8800077,"Amsterdam, Netherlands"
428,Park Hotel,Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,8.3,52.3613814,4.8832594,"Amsterdam, Netherlands"
429,Hotel Stefanie,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,9.1,48.2142766,16.3801779,"Vienna, Austria"
430,Amba Hotel Charing Cross,The Strand Westminster Borough London WC2N 5HX United Kingdom,9.3,51.508236,-0.12619629999999998,"London, United Kingdom"
431,Bermondsey Square Hotel A Bespoke Hotel,Tower Bridge Road Southwark London SE1 3UN United Kingdom,8.3,51.4991134,-0.0790969,"London, United Kingdom"
432,Courtyard by Marriott Vienna Prater Messe,Trabrennstra e 4 02 Leopoldstadt 1020 Vienna Austria,8.7,48.2130607,16.4133973,"Vienna, Austria"
433,NH Barcelona Stadium,Travessera de les Corts 150 152 Les Corts 08028 Barcelona Spain,8.1,41.381257399999996,2.1269077999999997,"Barcelona, Spain"
434,H10 Cubik 4 Sup,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain,9.3,41.388024,2.1731556,"Barcelona, Spain"
435,NH Amsterdam Zuid,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,7.8,52.3266672,4.880088400000001,"Amsterdam, Netherlands"
436,The Square Milano Duomo,Via Albricci 2 4 Milan City Center 20122 Milan Italy,9.0,45.4608604,9.189021499999999,"Milan, Italy"
437,Art Hotel Navigli,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,8.6,45.4501306,9.1696481,"Milan, Italy"
438,Hotel Balmoral,Via Augusta 5 08006 Barcelona Spain,8.3,41.3961294,2.1551626,"Barcelona, Spain"
439,Hotel Clerici,Via Clerici 11 Milan City Center 20121 Milan Italy,9.0,45.4667717,9.187100099999999,"Milan, Italy"
440,UNA Hotel Cusani,Via Cusani 13 Milan City Center 20121 Milan Italy,8.8,45.4684251,9.183416099999999,"Milan, Italy"
441,Hotel Milano Scala,Via dell Orso 7 Milan City Center 20121 Milan Italy,8.8,45.4689376,9.1868891,"Milan, Italy"
442,IH Hotels Milano Gioia,Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy,7.5,45.499520000000004,9.206138000000001,"Milan, Italy"
443,Hotel Marconi,Via Fabio Filzi 3 Central Station 20124 Milan Italy,8.3,45.4868744,9.2018407,"Milan, Italy"
444,Nu Hotel,Via Feltre 19 B Citt Studi 20132 Milan Italy,8.9,45.4911829,9.2393614,"Milan, Italy"
445,Hotel Auriga,Via G B Pirelli 7 Central Station 20124 Milan Italy,8.2,45.485887700000006,9.204282699999998,"Milan, Italy"
446,Idea Hotel Milano San Siro,Via Gaetano Airaghi 125 20153 Milan Italy,6.9,45.4720654,9.0777871,"Milan, Italy"
447,LaGare Hotel Milano Centrale MGallery by Sofitel,Via Gian Battista Pirelli 20 Central Station 20124 Milan Italy,8.7,45.484237,9.198858,"Milan, Italy"
448,Hotel Sanpi Milano,Via Lazzaro Palazzi 18 Central Station 20124 Milan Italy,8.5,45.477762299999995,9.203169,"Milan, Italy"
449,Hilton Garden Inn Milan North,Via Lucio Giunio Columella 36 Distretto Viale Monza 20128 Milan Italy,8.3,45.516167100000004,9.227277800000001,"Milan, Italy"
450,DoubleTree By Hilton Milan,Via Ludovico Di Breme 77 Certosa 20156 Milan Italy,8.1,45.5005657,9.1383663,"Milan, Italy"
451,Hilton Milan,Via Luigi Galvani 12 Central Station 20124 Milan Italy,8.2,45.4862032,9.200322,"Milan, Italy"
452,Grand Hotel et de Milan,Via Manzoni 29 Milan City Center 20121 Milan Italy,9.1,45.4699058,9.1925024,"Milan, Italy"
453,Hotel Mediolanum,Via Mauro Macchi 1 Central Station 20124 Milan Italy,8.4,45.481342299999994,9.2039494,"Milan, Italy"
454,Crowne Plaza Milan City,Via Melchiorre Gioia 73 Central Station 20124 Milan Italy,8.5,45.4896727,9.2006406,"Milan, Italy"
455,Hotel Berna,Via Napo Torriani 18 Central Station 20124 Milan Italy,9.2,45.482669200000004,9.2034371,"Milan, Italy"
456,Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy,8.5,45.4830211,9.2033246,"Milan, Italy"
457,Starhotels Business Palace,Via Pietro Gaggia 3 Ripamonti Corvetto 20139 Milan Italy,8.1,45.43784,9.230901,"Milan, Italy"
458,Uptown Palace,Via Santa Sofia 10 Milan City Center 20122 Milan Italy,8.5,45.457465500000005,9.1919138,"Milan, Italy"
459,Hotel Da Vinci,Via Senigallia 6 20161 Milan Italy,8.1,45.533137200000006,9.1711019,"Milan, Italy"
460,Hotel Spadari Al Duomo,Via Spadari 11 Milan City Center 20123 Milan Italy,9.3,45.463578999999996,9.186909199999999,"Milan, Italy"
461,Starhotels Ritz,Via Spallanzani 40 Central Station 20129 Milan Italy,8.1,45.4779041,9.2094965,"Milan, Italy"
462,Ramada Plaza Milano,Via Stamira D Ancona 27 Distretto Viale Monza 20127 Milan Italy,8.4,45.501946000000004,9.227756900000001,"Milan, Italy"
463,NH Milano Touring,Via Tarchetti 2 Milan City Center 20121 Milan Italy,8.4,45.476916700000004,9.196665,"Milan, Italy"
464,Bianca Maria Palace Hotel,Viale Bianca Maria 4 Milan City Center 20129 Milan Italy,9.0,45.4635445,9.206864900000001,"Milan, Italy"
465,Hotel Raffaello,Viale Certosa 108 Certosa 20156 Milan Italy,8.1,45.494861,9.141551,"Milan, Italy"
466,Grand Visconti Palace,Viale Isonzo 14 Porta Romana 20135 Milan Italy,8.6,45.4471408,9.2070051,"Milan, Italy"
467,NH Milano Palazzo Moscova,Viale Monte Grappa 12 Garibaldi Station 20124 Milan Italy,8.2,45.480968,9.189977,"Milan, Italy"
468,Hotel degli Arcimboldi,Viale Sarca 336 Bicocca Zara 20125 Milan Italy,8.3,45.5257221,9.215003300000001,"Milan, Italy"
469,NH Carlton Amsterdam,Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,7.0,52.3663727,4.893050499999999,"Amsterdam, Netherlands"
470,Vilana Hotel,Vilana 7 Sarri St Gervasi 08017 Barcelona Spain,8.2,41.4047934,2.1288527000000004,"Barcelona, Spain"
471,Acevi Villarroel,Villarroel 106 Eixample 08011 Barcelona Spain,7.8,41.385378100000004,2.1567228,"Barcelona, Spain"
472,Hotel Arkadenhof,Viriotgasse 5 09 Alsergrund 1090 Vienna Austria,8.5,48.230701399999994,16.3552189,"Vienna, Austria"
473,Austria Trend Hotel Anatol Wien,Webgasse 26 06 Mariahilf 1060 Vienna Austria,8.8,48.1945774,16.346356,"Vienna, Austria"
474,Boutique Hotel Notting Hill,Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,8.4,52.3583821,4.8988777,"Amsterdam, Netherlands"
475,Crowne Plaza London Ealing,Western Avenue Ealing London W5 1HG United Kingdom,8.5,51.5403942,-0.3697581,"London, United Kingdom"
476,Good Hotel London,Western Gateway Newham London E16 1FA United Kingdom,8.1,51.5084195,0.0253216,"London, United Kingdom"
477,Park Plaza Westminster Bridge London,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,8.7,51.5009609,-0.1165913,"London, United Kingdom"
478,Thistle Trafalgar Square The Royal Trafalgar,Whitcomb Street Trafalgar Square Westminster Borough London WC2H 7HG United Kingdom,8.4,51.509133,-0.130189,"London, United Kingdom"
479,The Student Hotel Amsterdam City,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,8.7,52.354664899999996,4.9131640999999995,"Amsterdam, Netherlands"
480,Hotel Prinz Eugen,Wiedner G rtel 14 04 Wieden 1040 Vienna Austria,8.3,48.187725799999996,16.3781454,"Vienna, Austria"
481,Holiday Inn London Kensington,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,7.8,51.499981,-0.19287910000000003,"London, United Kingdom"
482,One Aldwych,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,9.2,51.5117832,-0.1194172,"London, United Kingdom"
483,Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,8.2,48.8487675,2.3410376,"Paris, France"
484,Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,9.5,51.5020425,-0.18665410000000002,"London, United Kingdom"
485,Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France,8.6,48.87325429999999,2.343239,"Paris, France"
486,Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,9.6,51.5084595,-0.1311382,"London, United Kingdom"
487,The London EDITION,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,9.1,51.5167472,-0.135965,"London, United Kingdom"
488,The Cranley Hotel,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,7.8,51.4916378,-0.18328329999999998,"London, United Kingdom"
489,The Nadler Soho,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,9.0,51.5147387,-0.1341108,"London, United Kingdom"
490,Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France,8.0,48.8673199,2.3656296,"Paris, France"
491,Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France,8.8,48.8766269,2.3432886,"Paris, France"
492,The Victoria,10 West Temple Sheen London SW14 7RT United Kingdom,8.3,51.461121899999995,-0.27562159999999997,"London, United Kingdom"
493,Crowne Plaza London Kensington,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,8.7,51.495179,-0.183827,"London, United Kingdom"
494,The Park Tower Knightsbridge a Luxury Collection Hotel,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,8.2,51.5014191,-0.16258050000000002,"London, United Kingdom"
495,Amp re,102 Avenue de Villiers 17th arr 75017 Paris France,8.8,48.8848583,2.2997023,"Paris, France"
496,Park Plaza Sherlock Holmes London,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,8.2,51.5209191,-0.1566567,"London, United Kingdom"
497,The Kensington Hotel,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,8.7,51.4925478,-0.1780611,"London, United Kingdom"
498,My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,8.1,51.5188555,-0.1319172,"London, United Kingdom"
499,Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,8.3,48.8468064,2.3714789,"Paris, France"
500,The Wellesley Knightsbridge a Luxury Collection Hotel London,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,9.0,51.502485,-0.15392650000000002,"London, United Kingdom"
501,Le Marcel,11 rue du 8 Mai 1945 10th arr 75010 Paris France,8.5,48.8761376,2.3572681,"Paris, France"
502,H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,8.7,48.8725794,2.3075779,"Paris, France"
503,The Rembrandt,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,8.5,51.4959227,-0.17029170000000002,"London, United Kingdom"
504,H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France,8.8,48.8550466,2.304583,"Paris, France"
505,Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,8.6,51.49455220000001,-0.1861213,"London, United Kingdom"
506,Novotel London Waterloo,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,8.2,51.4948465,-0.1187481,"London, United Kingdom"
507,The Athenaeum,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,8.1,51.504715999999995,-0.1475618,"London, United Kingdom"
508,Park International Hotel,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,7.8,51.4945144,-0.1866172,"London, United Kingdom"
509,Lansbury Heritage Hotel,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,9.4,51.5090985,-0.015730200000000003,"London, United Kingdom"
510,Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France,8.4,48.8715828,2.3224853,"Paris, France"
511,Ambassadors Bloomsbury,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,7.9,51.5266618,-0.12965710000000003,"London, United Kingdom"
512,Le 123 S bastopol Astotel,123 boulevard S bastopol 2nd arr 75002 Paris France,9.3,48.8675886,2.3531017999999997,"Paris, France"
513,Le 123 Elysees Astotel,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,9.2,48.8730823,2.309659,"Paris, France"
514,London Marriott Hotel Regents Park,128 King Henry s Road Camden London NW3 3ST United Kingdom,8.3,51.5421476,-0.1703073,"London, United Kingdom"
515,La Villa Haussmann,132 Boulevard Haussmann 8th arr 75008 Paris France,9.2,48.8753446,2.3167161,"Paris, France"
516,London Marriott Hotel Marble Arch,134 George Street Westminster Borough London W1H 5DN United Kingdom,8.2,51.5163841,-0.16357639999999998,"London, United Kingdom"
517,Saint Georges Hotel,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,7.5,51.517839,-0.1424476,"London, United Kingdom"
518,Park Grand London Lancaster Gate,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,8.8,51.51320689999999,-0.18078160000000001,"London, United Kingdom"
519,Hotel Op ra Richepanse,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,9.2,48.8686931,2.325211,"Paris, France"
520,The Bailey s Hotel London,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,8.7,51.4938733,-0.1824963,"London, United Kingdom"
521,London Marriott Hotel Park Lane,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,8.8,51.5131428,-0.1576714,"London, United Kingdom"
522,Hotel Indigo London Tower Hill,142 Minories City of London London EC3N 1LS United Kingdom,9.2,51.5128032,-0.07586,"London, United Kingdom"
523,Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,7.6,51.51611389999999,-0.1749521,"London, United Kingdom"
524,London Marriott Hotel Kensington,147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,8.0,51.494484899999996,-0.18841739999999998,"London, United Kingdom"
525,Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,9.5,51.5184158,-0.1348509,"London, United Kingdom"
526,The Goring,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,9.4,51.4975621,-0.14555099999999999,"London, United Kingdom"
527,The Pelham Starhotels Collezione,15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,8.6,51.4943935,-0.17501689999999998,"London, United Kingdom"
528,The Montague On The Gardens,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,9.3,51.520181,-0.1256957,"London, United Kingdom"
529,Hotel Les Rives de Notre Dame,15 Quai Saint Michel 5th arr 75005 Paris France,8.6,48.853226899999996,2.3457159,"Paris, France"
530,Le Marquis Eiffel,15 Rue Dupleix 15th arr 75015 Paris France,8.8,48.8516619,2.2979395,"Paris, France"
531,The Ritz London,150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,9.3,51.5069446,-0.1415776,"London, United Kingdom"
532,Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,8.0,51.556154799999995,-0.2141824,"London, United Kingdom"
533,The Bloomsbury Hotel,16 22 Great Russell Street Camden London WC1B 3NN United Kingdom,9.0,51.5171671,-0.12905339999999998,"London, United Kingdom"
534,Idol Hotel,16 rue d Edimbourg 8th arr 75008 Paris France,9.1,48.8795369,2.3202966,"Paris, France"
535,Villa Eugenie,167 rue de Rome 17th arr 75017 Paris France,6.8,48.8871283,2.314205,"Paris, France"
536,Hilton London Euston,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,7.4,51.5265189,-0.13036889999999998,"London, United Kingdom"
537,Millennium Hotel London Knightsbridge,17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,7.5,51.4999683,-0.15999270000000002,"London, United Kingdom"
538,H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France,8.6,48.8720593,2.3236802000000005,"Paris, France"
539,Park Avenue Baker Street,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,7.7,51.52414520000001,-0.16099070000000001,"London, United Kingdom"
540,The Park City Grand Plaza Kensington Hotel,18 30 Lexham Gardens Kensington and Chelsea London W8 5JE United Kingdom,8.3,51.4954976,-0.1893691,"London, United Kingdom"
541,Danubius Hotel Regents Park,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,8.1,51.529257,-0.16835799999999998,"London, United Kingdom"
542,Radisson Blu Edwardian Sussex,19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,8.0,51.5144381,-0.15583370000000002,"London, United Kingdom"
543,H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France,7.9,48.8690198,2.2891277999999997,"Paris, France"
544,Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,7.5,51.4950098,-0.1906195,"London, United Kingdom"
545,Hilton London Bankside,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,9.3,51.5056956,-0.101525,"London, United Kingdom"
546,St Ermin s Hotel Autograph Collection,2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,8.9,51.498905,-0.13390929999999998,"London, United Kingdom"
547,Lyric H tel Paris,2 rue de Gramont 2nd arr 75002 Paris France,8.9,48.8690126,2.3368708,"Paris, France"
548,The Trafalgar Hilton,2 Spring Gardens Trafalgar Square Westminster Borough London SW1A 2TS United Kingdom,8.1,51.507374,-0.129135,"London, United Kingdom"
549,Old Ship Inn Hackney,2 Sylvester Path Hackney London E8 1EN United Kingdom,7.9,51.5458476,-0.055411300000000004,"London, United Kingdom"
550,The Drayton Court Hotel,2 The Avenue Ealing London W13 8PH United Kingdom,8.8,51.5141842,-0.31929250000000003,"London, United Kingdom"
551,The Colonnade,2 Warrington Crescent Westminster Borough London W9 1ER United Kingdom,7.8,51.524328600000004,-0.18466229999999997,"London, United Kingdom"
552,Grange Fitzrovia Hotel,20 28 Bolsover Street Westminster Borough London W1W 5NB United Kingdom,8.1,51.521759,-0.1425381,"London, United Kingdom"
553,H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France,8.2,48.8397623,2.3235324,"Paris, France"
554,Karma Sanctum Soho Hotel,20 Warwick Street Westminster Borough London W1B 5NF United Kingdom,8.1,51.5116049,-0.1383145,"London, United Kingdom"
555,Simply Rooms Suites,21 Avonmore Road Kensington Hammersmith and Fulham London W14 8RP United Kingdom,7.7,51.4944875,-0.2070605,"London, United Kingdom"
556,The Kings Head Hotel,214 High Street Acton London London W3 9NX United Kingdom,8.9,51.5079153,-0.2730145,"London, United Kingdom"
557,H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001 Paris France,8.7,48.8649306,2.3290843999999997,"Paris, France"
